01-1001;Zwets;26.ZF.0257;"Flens blindflens zwart 2.1/2"" PN16 DN65";9.89;;;;;;;;;;;
01-1002;Hilto;14-2576-NW250 273 PN10;"Flens lasflens vlak zwart 10"" PN10 vlak";32.93;;;;;;;;;;;
01-1003;Hilto;"21-SLIP-ON 150LBS 12""";"Flens slip-on flens zwart 12"" ASTM A-105";103.00;;;;;;;;;;;
01-1004;Hilto;16-2527-NW150 PN16;"Flens blindflens zwart 6"" PN16";32.36;;;;;;;;;;;
01-1005;Hilto;14-2576-NW150 168,3 PN16;"Flens lasflens vlak zwart 6"" 168,3 PN16 vlak";17.42;;;;;;;;;;;
01-1006;Hilto;14-2576-NW200 219,1 PN10;"Flens lasflens vlak zwart 8"" 219,1 PN10 8 gaten";24.69;;;;;;;;;;;
01-1007;Hilto;14-2576-NW050 060,3 PN16;"Flens lasflens vlak zwart 2"" PN 16";6.96;;;;;;;;;;;
01-1008;Hilto;14-2576-NW300 323,9 PN10;"Flens lasflens vlak zwart 12"" PN 10";38.20;;;;;;;;;;;
01-1009;Hilto;16-2527-NW100 PN16;"Flens blindflens zwart 4"" PN16";17.58;;;;;;;;;;;
01-1010;Hilto;16-2527-NW300 PN10;"Flens blindflens zwart 12"" PN10";101.32;;;;;;;;;;;
01-2001;Hilto;10-2616-323,9x273,0 CONC;Lasverloop zwart 323,9x273,0 mm concentrisch;70.25;;;;;;;;;;;
01-2002;Hilto;10-2616-219,1x168,3 CONC;Lasverloop zwart 219,1x168,3 mm concentrisch;31.94;;;;;;;;;;;
01-3001;Hilto;"01-016Z-1""";"Lassok zwart 1""";1.18;;;;;;;;;;;
01-3002;Hilto;10-2615-060,3x060,3;T-stuk las zwart 060,3x060,3 mm DIN st.35.8;12.50;;;;;;;;;;;
01-3003;Zwets;26.ZF.0403;"Lassok zwart 1"" DN25 nr. 16";0.90;;;;;;;;;;;
01-3004;Kieboom;;Lassok zwart 16-3/8;0.71;;;;;;;;;;;
01-3005;ODS;911401831;"Lassok zwart 1.1/2""x48 mm";12.09;;;;;;;;;;;
01-3006;ODS;911401829;"Lassok zwart 1""x43 mm";7.25;;;;;;;;;;;
01-3007;ODS;911401827;"Lassok zwart 1/2""x34 mm";3.62;;;;;;;;;;;
01-3008;ODS;911401825;"Lassok zwart 1/4""x25 mm";2.21;;;;;;;;;;;
01-3009;Hilto;"01-016Z-1.1/2""";"Lassok zwart 1.1/2""  ";1.91;;;;;;;;;;;
01-3010;Hilto;"01-016Z-1/2""";"Lassok zwart 1/2"" ";0.49;;;;;;;;;;;
01-4001;MCB;72254090;Plaat corten 3000x1500x3 mm warmgewalste;106.20;;;;;;;;;;;
01-4002;ODS;901000054;Plaat zwart 3000x1500x4 mm DD11 bandplaat geb./geol.;99.36;;;;;;;;;;;
01-4003;Heus;;Plaat zwart 2500x1250x10 mm S235JR;170.00;;;;;;;;;;;
01-4004;Heus;;Plaat zwart 2500x1250x20 mm S235JR;365.00;;;;;;;;;;;
01-4005;ODS;901000296;Plaat bandplaat zwart 2500x1250x5 mm S235JR;80.00;;;;;;;;;;;
01-4006;ODS;901000311;Plaat bandplaat zwart 2500x1250x6 mm S235JR;132.00;;;;;;;;;;;
01-4007;Heus;;Plaat zwart 2000x1000x10 mm S235JR;108.80;;;;;;;;;;;
01-4008;ODS;901000035;Plaat bandplaat 2000x1000x3 mm geb./geol.;39.33;;;;;;;;;;;
01-4009;ODS;901000088;Plaat bandplaat 2000x1000x6 mm geb./geol.;82.00;;;;;;;;;;;
01-4010;ODS;901000040;Plaat bandplaat 3000x1500x3 mm geb./geol.;79.76;;;;;;;;;;;
01-4011;ODS;901000082;Plaat bandplaat 3000x1500x5 mm geb./geol.;124.20;;;;;;;;;;;
01-5001;Heus;;Koker zwart 80x80x4 mm;45.00;;;lgt;;;;;;;;
01-5002;Heus;;Holland profiel 180x8 Grade A;84.18;;;lgt;;;;;;;;
01-5003;ODS;904101113;Platstaal zwart 100x10 mm S235 JR;31.85;;;lgt;;;;;;;;
01-5004;Zwets;26.ZF.1599;Platstaal zwart 100x10 mm;8.73;;;;;;;;;;;
01-5005;Heus;;Koker zwart 80x50x5 mm;41.63;;;;;;;;;;;
01-6001;Hilto;41-2801-060 BLANK;"Beugel zwart 2"" half";0.87;;;;;;;;;;;
01-6002;Zwets;26.ZF.2232;"Beugel staartbeugel + kap zwart 8"" ";18.32;;;;;;;;;;;
01-8001;Zwets;26.ZF.1433;"Plug zwart .1/2"" nr. 290";0.48;;;;;;;;;;;
01-8002;Zwets;26.ZF.1431;"Plug zwart .1/4"" nr. 290";0.53;;;;;;;;;;;
02-4001;Heus;;Plaat menie 2000x1000x8 mm S235JR gestraald;101.12;;;;;;;;;;;
02-5001;Heus;;Hoek menie 50x50x5;22.60;;;lgt;;;Subgroepen 08;1;rvs;;;
